一,one
二,two
三,three
口,mouth
四,four
五,five
六,six
七,seven
八,eight
九,nine
十,ten
日,sun
月,moon
白,white
百,hundred
千,thousand
万,ten thousand
円,yen
上,up
下,down
人,person
火,fire
土,dirt
水,water
木,tree
王,king
玉,jewel
国,country
金,gold
休,rest
目,eye
見,look
耳,ear
止,stop
足,foot
正,correct
車,car
手,hand
子,child
字,letter
学,learn
田,field
力,strength
男,man
女,woman
友,friend
父,father
母,mother
毎,each
分,segment
今,now
午,noon
年,year
寺,temple
時,time
小,small
大,big
犬,dog
半,half
前,in front
来,come
川,river
山,mountain
出,leave
入,entrance
天,heaven
夕,evening
名,name
化,change
花,flower
竹,bamboo
早,early
草,weed
林,grove
森,forest
交,mingle
校,school
言,word
語,language
話,story
売,sell
読,read
本,book
文,literary art
書,write
右,right
左,left
立,stand
音,sound
門,gate
間,interval
聞,listen
生,life
青,blue
赤,red
先,before
石,stone
糸,thread
後,after
気,spirit
空,sky
高,tall
何,what
町,town
村,village
中,inside
虫,bug
行,go
良,good
食,eat
雨,rain
電,electricity
外,outside
北,north
南,south
西,west
東,east
長,long